# ----------------------------------------
# Firebase overview
# Account: Default Account for Firebase
# Property: quran-playera-app
# ----------------------------------------
# How are active users trending?
# Start date: 20260101
# End date: 20260522
Nth day,30 days,7 days,1 day
0000,147,91,35
0001,169,105,28
0002,219,151,57
0003,325,250,116
0004,332,252,12
0005,346,260,18
0006,361,263,23
0007,357,232,6
0008,357,210,4
0009,362,166,7
0010,367,63,11
0011,367,55,3
0012,367,40,4
0013,364,24,5
0014,364,26,6
0015,367,29,7
0016,367,25,2
0017,366,19,3
0018,364,18,4
0019,363,20,7
0020,373,34,20
0021,385,44,19
0022,387,42,7
0023,369,47,10
0024,372,60,20
0025,375,67,13
0026,374,72,12
0027,377,66,12
0028,375,59,9
0029,365,64,12
0030,335,60,8
0031,317,54,11
0032,269,48,6
0033,161,43,7
0034,155,37,5
0035,141,32,5
0036,125,30,10
0037,125,27,4
0038,128,25,7
0039,123,25,3
0040,118,24,4
0041,122,26,8
0042,122,25,5
0043,120,23,4
0044,118,23,4
0045,117,21,4
0046,118,21,5
0047,119,20,3
0048,119,17,6
0049,117,18,7
0050,112,23,16
0051,108,31,15
0052,109,35,13
0053,112,39,13
0054,114,49,19
0055,109,49,2
0056,104,54,9
0057,105,53,13
0058,102,50,6
0059,96,45,6
0060,93,38,5
0061,92,29,7
0062,92,31,8
0063,89,28,4
0064,90,23,12
0065,91,20,6
0066,92,26,13
0067,92,28,8
0068,91,26,4
0069,92,26,7
0070,95,29,5
0071,91,24,9
0072,91,25,4
0073,90,20,7
0074,89,20,2
0075,93,26,11
0076,92,24,4
0077,93,25,7
0078,97,29,6
0079,98,29,8
0080,93,30,8
0081,92,34,9
0082,94,33,11
0083,96,42,16
0084,94,46,13
0085,96,44,10
0086,95,45,11
0087,88,45,10
0088,97,54,21
0089,114,68,23
0090,114,59,2
0091,115,54,4
0092,122,60,13
0093,122,60,6
0094,119,55,3
0095,118,41,4
0096,112,22,3
0097,111,23,5
0098,111,20,1
0099,109,12,4
0100,109,12,6
0101,110,13,7
0102,108,13,5
0103,109,16,7
0104,110,16,4
0105,105,16,2
0106,104,16,4
0107,103,16,7
0108,101,19,9
0109,100,18,3
0110,98,18,3
0111,97,20,4
0112,98,25,10
0113,90,26,6
0114,85,27,8
0115,85,26,8
0116,91,31,12
0117,94,37,11
0118,82,37,8
0119,66,34,8
0120,72,40,11
0121,72,40,7
0122,67,39,9
0123,66,34,4
0124,69,31,5
0125,71,33,7
0126,73,31,5
0127,82,33,15
0128,92,39,16
